datetime,ticker,signal,price
2026-06-24 00:15:46,7203.T,HOLD,2741.5
2026-06-24 00:18:49,7203.T,HOLD,2741.5
2026-06-24 00:18:49,9432.T,HOLD,144.0
2026-06-24 00:18:50,9984.T,HOLD,7244.0
2026-06-24 00:18:50,6857.T,HOLD,32170.0
